"title","budget_usd","rating"
"East of Havana",7500000,"6.6"
"Court",7500000,"7.6"
"Noi the Albino",7500000,"7.3"
"Down the Shore",7500000,"5.9"
"Freak Show",7500000,"6.5"
"The Fiancé",7500000,"2.4"
"Presenting Princess Shaw",7500000,"6.9"
"Tahara",7500000,"5.7"
"Emptying the Skies",7500000,"7.4"
"People Say I'm Crazy",7500000,"7.9"
"The Whale",7500000,"8.1"
"The Black Sea",7500000,"8"
"Watermarks",7500000,"7.2"
"Freestyle: The Art of Rhyme",7400000,"7.4"
"Half of a Yellow Sun",7400000,"6.1"
"Girlhood",7395080,"7.1"
"Bettie Page Reveals All",7300000,"7"
"The Departure",7300000,"7.1"
"A Little Family Drama",7300000,"8.8"
"Werckmeister Harmonies",7217600,"8"
"The Young Unknowns",7200000,"4.1"
"Fire in the Blood",7200000,"7.7"
"Quiet City",7100000,"6.3"
"Beba",7000000,"6.3"
"Putty Hill",7000000,"5.9"
"Children of Invention",7000000,"6.5"
"Bye Bye Germany",7000000,"6.5"
"The Cured",7000000,"5.6"
"Actress",7000000,"6.2"
"Torn",7000000,"5.9"
"The Son's Room",7000000,"7.3"
"Genesis",7000000,"7.1"
"Wagner & Me",7000000,"7"
"John Rabe",7000000,"7.2"
"Sisters in Law",7000000,"7.3"
"Girl Model",7000000,"6.5"
"1982",7000000,"6.7"
"Counting",7000000,"6.2"
"The Wedding Party 2: Destination Dubai",7000000,"4.7"
"What Doesn't Float",7000000,"6.9"
"Jet Trash",7000000,"5"
"Pawn Shop Chronicles",7000000,"5.9"
"Bright Days Ahead",7000000,"6.3"
"With All Deliberate Speed",7000000,"7.7"
"The Wild Pear Tree",7000000,"8"
"Revolution #9",7000000,"6.7"
"Love is in the Air",7000000,"6.3"
"Desolation Center",7000000,"7.4"
"Custody",7000000,"7.5"
"Whole New Thing",7000000,"6.7"
"If You Build It",7000000,"7.2"
"Broken Sky",7000000,"5.7"
"The Lucky Man",7000000,"4.7"
"Beyond the Black Rainbow",7000000,"5.9"
"Gangster's Paradise: Jerusalema",7000000,"7.3"
"Tehran Taboo",7000000,"7.1"
"Gabriel and the Mountain",7000000,"7"
"Oceans Are the Real Continents",7000000,"7.1"
"Making Him Famous",7000000,"8.1"
